IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;DataStart;location
5738;Ozono;µg/m³;607;Abbadia Cerreto v. Fanfulla;64;LO;Abbadia Cerreto;10/04/2001;(45.309502269282255, 9.585790416120414)
20497;Benzene;µg/m³;1801;Brescia v.Tartaglia;151;BS;Brescia;;(45.542647891822845, 10.211205215118259)
5575;Biossido di Azoto;µg/m³;572;Morbegno v.Cortivacci;262;SO;Morbegno;13/01/1999;(46.132282960003735, 9.566179893984474)
6274;Ossidi di Azoto;µg/m³;598;San Rocco al Porto v.Matteotti;50;LO;San Rocco al Porto;24/01/2002;(45.081986696978625, 9.70078817718398)
20104;Particelle sospese PM2.5;µg/m³;592;Treviglio p.zza Insurrezione;191;BG;Treviglio;01/03/2015;(45.51933498138716, 9.592009994888425)
5812;Monossido di Carbonio;mg/m³;606;San Giuliano Milanese via Milano;97;MI;San Giuliano Milanese;13/01/2000;(45.39619462552717, 9.282700075557845)
5834;Monossido di Carbonio;mg/m³;548;Milano v.Senato;118;MI;Milano;01/05/1995;(45.470499014097, 9.197460360112531)
10288;Ozono;µg/m³;706;Lecco v.Sora;272;LC;Lecco;28/06/2007;(45.86374884127965, 9.399950344681852)
6356;Ossidi di Azoto;µg/m³;504;Sesto San Giovanni v. Cesare da Sesto;139;MI;Sesto San Giovanni;18/12/1980;(45.53476576509224, 9.236107923411636)
5595;Biossido di Azoto;µg/m³;592;Treviglio p.zza Insurrezione;191;BG;Treviglio;02/06/1991;(45.51933498138716, 9.592009994888425)
5809;Monossido di Carbonio;mg/m³;600;Lodi v.Vignati;80;LO;Lodi;30/12/1999;(45.30601298752377, 9.48526286320174)
5555;Biossido di Azoto;µg/m³;552;Varese v.Vidoletti;425;VA;Varese;24/12/1991;(45.83690077655548, 8.80392612667495)
10001;Ossidi di Azoto;µg/m³;683;Cassano d'Adda 2-v.Milano;133;MI;Cassano d'Adda;17/02/2006;(45.52647254585104, 9.515980483627096)
9859;Monossido di Carbonio;mg/m³;673;Voghera v.Pozzoni;90;PV;Voghera;05/07/2005;(44.99954598914026, 9.008437381815693)
5853;Monossido di Carbonio;mg/m³;560;Varese v.Copelli;383;VA;Varese;07/08/2003;(45.816973233263674, 8.820240707158211)
6953;PM10 (SM2005);µg/m³;659;Odolo v.Praes;349;BS;Odolo;23/06/2000;(45.64604963372525, 10.38929530279196)
6270;Ossidi di Azoto;µg/m³;602;Melegnano v.Predabissi;83;MI;Melegnano;13/01/2000;(45.35428575070997, 9.329243424113708)
10548;PM10 (SM2005);µg/m³;1269;Dalmine v.Verdi;207;BG;Dalmine;26/02/2010;(45.64970251236247, 9.601223338785262)
5835;Monossido di Carbonio;mg/m³;504;Sesto San Giovanni v. Cesare da Sesto;139;MI;Sesto San Giovanni;29/04/1990;(45.53476576509224, 9.236107923411636)
5549;Biossido di Azoto;µg/m³;546;Magenta v. F. Turati;137;MI;Magenta;22/04/1995;(45.462415791106615, 8.880210433125571)
5718;Ozono;µg/m³;546;Magenta v. F. Turati;137;MI;Magenta;29/07/1995;(45.462415791106615, 8.880210433125571)
10078;Ossidi di Azoto;µg/m³;695;Ponti sul Mincio v.San Martino;113;MN;Ponti sul Mincio;20/12/2006;(45.41277169168634, 10.683357343786835)
5825;Monossido di Carbonio;mg/m³;531;Pioltello Limito;114;MI;Pioltello;11/11/1994;(45.48363035323249, 9.327360033215145)
6264;Ossidi di Azoto;µg/m³;608;Codogno v.Trento;59;LO;Codogno;13/01/2000;(45.15937280234111, 9.69814824935254)
10511;Monossido di Carbonio;mg/m³;1269;Dalmine v.Verdi;207;BG;Dalmine;12/02/2010;(45.64970251236247, 9.601223338785262)
9896;Ossidi di Azoto;µg/m³;609;Casirate d'Adda v. Cimitero;108;BG;Casirate d'Adda;10/11/2005;(45.49822713394494, 9.556232262351761)
