IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;DataStart;lat;lng
9928;Biossido di Azoto;æg/mü;677;Cremona Via Fatebenefratelli;43;11/04/2006;4514254063221690,00;10043836158369400,00
6330;Ossidi di Azoto;æg/mü;542;Meda v. Gagarin;222;01/11/1995;4566176219189170,00;9156643984551600,00
12617;Benzo(a)pirene;ng/mü;670;Mantova S.Agnese;22;19/02/2008;4516056833010580,00;1079556411370790,00
20489;Ossidi di Azoto;æg/mü;1800;Brescia S.Polo;124;;455086667998462,00;10256370247433800,00
6782;Monossido di Carbonio;mg/mü;652;Brescia v.Turati;154;12/01/1999;45539529434956000,00;10231785907477200,00
9861;Ozono;æg/mü;673;Voghera v.Pozzoni;90;05/07/2005;4499954598914030,00;9008437381815690,00
10456;Particelle sospese PM2.5;æg/mü;1265;Lodi S.Alberto;76;03/08/2009;45302783503095800,00;9495273696926320,00
5742;Ozono;æg/mü;572;Morbegno v.Cortivacci;262;24/05/2003;46132282960003700,00;9566179893984470,00
9969;Biossido di Azoto;æg/mü;679;Valmadrera v.Pozzi;247;15/02/2006;45842207261022500,00;9351658166127960,00
12629;Benzo(a)pirene;ng/mü;705;Milano Pascal Citt… Studi;122;02/04/2008;4547899606168740,00;9235491038497500,00
9831;PM10 (SM2005);æg/mü;670;Mantova S.Agnese;22;30/12/2004;4516056833010580,00;1079556411370790,00
9739;PM10 (SM2005);æg/mü;608;Codogno v.Trento;59;09/04/2005;4515937280234110,00;969814824935254,00
12623;Benzo(a)pirene;ng/mü;542;Meda v. Gagarin;222;18/04/2008;4566176219189170,00;9156643984551600,00
9857;Biossido di Azoto;æg/mü;673;Voghera v.Pozzoni;90;28/07/2005;4499954598914030,00;9008437381815690,00
5710;Ozono;æg/mü;544;Cormano v. Edison;153;03/11/1994;45551041944372400,00;9162613653151320,00
6869;Benzene;æg/mü;642;Pavia v. Folperti;77;06/06/2002;4519467609907780,00;9164638300630090,00
30162;Ossidi di Azoto;æg/mü;669;Brescia Villaggio Sereno;70;22/01/2013;45513038818653800,00;1019194188877930,00
9897;Biossido di Azoto;æg/mü;609;Casirate d'Adda v. Cimitero;108;10/11/2005;4549822713394490,00;9556232262351760,00
10017;Ossidi di Azoto;æg/mü;685;Calusco d'Adda v. Caduti sul Lavoro;273;30/06/2006;4569042907854510,00;9484260927647790,00
10043;PM10 (SM2005);æg/mü;687;Ferno v.Di Dio;215;29/11/2006;4561924377994760,00;8756970445453430,00
10451;Ossidi di Azoto;æg/mü;1265;Lodi S.Alberto;76;03/08/2009;45302783503095800,00;9495273696926320,00
6817;Ossidi di Azoto;æg/mü;656;Gambara v.Parma;47;01/01/1990;4524954362474620,00;10299119496064100,00
10103;PM10 (SM2005);æg/mü;697;Borgofranco sul Po loc. Bonizzo;14;01/01/2007;4504650153816730,00;1118093581912750,00
10301;Benzene;æg/mü;574;Lecco v. Amendola;214;07/11/2006;45850191194578500,00;9395577066893220,00
20032;Ossidi di Azoto;æg/mü;693;Sannazzaro de' Burgondi v.Traversi;85;24/10/2013;4510276627684140,00;890417452771467,00
