denominazione,latitudine,longitudine,provincia
San Zenone al Po,45.1094353,9.361835,PV
Sannazzaro de' Burgondi,45.1033053,8.9075039,PV
Santa Cristina e Bissone,45.1586111,9.4009629,PV
Santa Giuletta,45.0350185,9.1847037,PV
Santa Margherita di Staffora,44.7712777,9.2417407,PV
Santa Maria della Versa,44.9901666,9.2973703,PV
Sant'Alessio con Vialone,45.2234629,9.2272037,PV
Sant'Angelo Lomellina,45.2479452,8.6450217,PV
Sartirana Lomellina,45.1156296,8.6656481,PV
Scaldasole,45.1268888,8.9107962,PV
Semiana,45.1375991,8.7322899,PV
Silvano Pietra,45.0414259,8.9489074,PV
Siziano,45.3153148,9.2042222,PV
Sommo,45.1279057,9.0823172,PV
Spessa,45.114537,9.3497037,PV
Stradella,45.074074,9.3018888,PV
Suardi,45.0356296,8.744074,PV
Torrazza Coste,44.9779949,9.0847255,PV
Torre Beretti e Castellaro,45.0609444,8.672037,PV
Torre d'Arese,45.2437592,9.3184444,PV
Torre de' Negri,45.1506296,9.3356296,PV
Torre d'Isola,45.2184444,9.0773703,PV
Torrevecchia Pia,45.2829814,9.2975185,PV
Torricella Verzate,45.0198433,9.1765774,PV
Travacò Siccomario,45.15,9.1607962,PV
Trivolzio,45.2595555,9.0439259,PV
Tromello,45.2114518,8.8702246,PV
Trovo,45.2839074,9.036574,PV
Val di Nizza,44.8780915,9.1655973,PV
Valeggio,45.1517407,8.8611111,PV
Valle Lomellina,45.151769,8.666761,PV
Valle Salimbene,45.1726151,9.235358,PV
Valverde,44.8697037,9.2354814,PV
Varzi,44.823653,9.1958559,PV
Velezzo Lomellina,45.1641308,8.7377386,PV
Vellezzo Bellini,45.2717407,9.1003148,PV
Verretto,45.0407835,9.1070046,PV
Verrua Po,45.1078148,9.1764074,PV
Vidigulfo,45.290448,9.2349599,PV
Vigevano,45.317092,8.8586493,PV
Villa Biscossi,45.0906316,8.7877401,PV
Villanova d'Ardenghi,45.1726666,9.0434444,PV
Villanterio,45.2204814,9.3654814,PV
Vistarino,45.2115052,9.3089144,PV
Voghera,44.992184,9.0096803,PV
Volpara,44.954074,9.2979814,PV
Zavattarello,44.8684444,9.2662592,PV
Zeccone,45.2589259,9.2023703,PV
Zeme,45.198319,8.6695076,PV
Zenevredo,45.0550083,9.3271112,PV
Zerbo,45.1114074,9.3972037,PV
Zerbolò,45.2071884,9.0142136,PV
Zinasco,45.1292321,9.0313318,PV
Albaredo per San Marco,46.1008855,9.592581,SO
Albosaggia,46.1484444,9.8551666,SO
Andalo Valtellino,46.1319712,9.4759954,SO
Aprica,46.1537777,10.1528333,SO
Ardenno,46.1653333,9.6461111,SO
Bema,46.104508,9.5640868,SO
Berbenno di Valtellina,46.1687392,9.746273,SO
Bianzone,46.1892407,10.1104814,SO
Bormio,46.4676064,10.3780623,SO
Buglio in Monte,46.1853342,9.6794594,SO
Caiolo,46.1509444,9.8156296,SO
Campodolcino,46.403006,9.3534089,SO
Caspoggio,46.2645492,9.8639016,SO
Castello dell'Acqua,46.1458949,10.0144349,SO
Castione Andevenno,46.1737592,9.8014259,SO
Cedrasco,46.1503333,9.7681296,SO
Cercino,46.1592978,9.5076485,SO
Chiavenna,46.319744,9.397883,SO
Chiesa in Valmalenco,46.2649137,9.8505048,SO
Chiuro,46.1659444,9.982037,SO
Cino,46.1588859,9.4859871,SO
Civo,46.1551666,9.5617222,SO
Colorina,46.1547037,9.7304814,SO
Cosio Valtellino,46.1361111,9.5528333,SO
Dazio,46.1623703,9.6017222,SO
Delebio,46.137037,9.4617222,SO
Dubino,46.1728333,9.4312592,SO
Faedo Valtellino,46.1532414,9.908358,SO
Forcola,46.1595555,9.6620336,SO
Fusine,46.1504814,9.7509629,SO
Gerola Alta,46.0613615,9.5509465,SO
Gordona,46.2932962,9.3664074,SO
Grosio,46.296827,10.2729202,SO
Grosotto,46.2826639,10.258939,SO
Lanzada,46.2703333,9.8703148,SO
Livigno,46.5450903,10.141341,SO
Lovero,46.2323518,10.2297037,SO
Madesimo,46.4369532,9.3594717,SO
Mantello,46.1534444,9.49,SO
Mazzo di Valtellina,46.2595845,10.2567321,SO
Mello,46.1561165,9.5476489,SO
Menarola,46.2982643,9.360828,SO
Mese,46.3042097,9.3774776,SO
Montagna in Valtellina,46.1795555,9.904074,SO
Morbegno,46.1327154,9.573358,SO
Novate Mezzola,46.2225,9.4509444,SO
Pedesina,46.0828148,9.5506481,SO
Piantedo,46.1351666,9.4304814,SO
Piateda,46.1606481,9.9361111,SO
Piuro,46.3304535,9.4217302,SO
Poggiridenti,46.1757962,9.9272037,SO
Ponte in Valtellina,46.1759444,9.9789074,SO
Postalesio,46.174683,9.7762677,SO
Prata Camportaccio,46.3042146,9.3964914,SO
Rasura,46.1015805,9.5534615,SO
Rogolo,46.137037,9.4854814,SO
Samolaco,46.2434444,9.3951666,SO
San Giacomo Filippo,46.3387842,9.3709148,SO
Sernio,46.2244772,10.2051141,SO
Sondalo,46.3306135,10.3268228,SO
Sondrio,46.1712597,9.8693336,SO
Spriana,46.2217877,9.8643359,SO
Talamona,46.1390951,9.6144352,SO
Tartano,46.1067695,9.6799584,SO
Teglio,46.1720484,10.0671259,SO
Tirano,46.2164259,10.1689074,SO
Torre di Santa Maria,46.234537,9.8526666,SO
Tovo di Sant'Agata,46.2463791,10.2501201,SO
Traona,46.1491098,9.5332397,SO
Tresivio,46.1767407,9.9437777,SO
Val Masino,46.2124069,9.6367961,SO
Valdidentro,46.4900185,10.2951666,SO
Valdisotto,46.4280736,10.3561189,SO
Valfurva,46.4630233,10.4105344,SO
Verceia,46.1997037,9.4559629,SO
Vervio,46.25211,10.2394406,SO
Villa di Chiavenna,46.3308555,9.4826388,SO
Villa di Tirano,46.2048518,10.1350185,SO
Agra,46.0338417,8.7730683,VA
Albizzate,45.726826,8.802269,VA
Angera,45.7737051,8.5778347,VA
Arcisate,45.8597773,8.8609209,VA
Arsago Seprio,45.6893888,8.7357962,VA
Azzate,45.7796511,8.7939026,VA
Azzio,45.8856296,8.7097037,VA
Barasso,45.8402468,8.7571751,VA
Bardello,45.8348906,8.697251,VA
Bedero Valcuvia,45.9138775,8.7943509,VA
Besano,45.8896599,8.8901497,VA
Besnate,45.7012035,8.7667183,VA
Besozzo,45.846248,8.666667,VA
Biandronno,45.822204,8.715506,VA
Bisuschio,45.8747944,8.8719338,VA
Bodio Lomnago,45.7897037,8.7520555,VA
Brebbia,45.8284303,8.6502274,VA
Bregano,45.8267222,8.6889259,VA
Brenta,45.8951666,8.6848518,VA
Brezzo di Bedero,45.9781351,8.7191633,VA
Brinzio,45.8881924,8.7904919,VA
Brissago-Valtravaglia,45.949537,8.7473703,VA
Brunello,45.7659444,8.7964074,VA
Brusimpiano,45.9453632,8.8906944,VA
Buguggiate,45.7832962,8.8117222,VA
Busto Arsizio,45.6113632,8.8491174,VA
Cadegliano-Viconago,45.9605507,8.8452118,VA
Cadrezzate,45.8003333,8.6445555,VA
Cairate,45.6903333,8.8706481,VA
Cantello,45.8234444,8.897037,VA
Caravate,45.8798518,8.659074,VA
Cardano al Campo,45.6448595,8.7722343,VA
Carnago,45.7231481,8.8353148,VA
Caronno Pertusella,45.5982132,9.0490749,VA
Caronno Varesino,45.7367222,8.8328148,VA
Casale Litta,45.7689259,8.7425185,VA
Casalzuigno,45.9037397,8.7016745,VA
Casciago,45.834616,8.7822839,VA
Casorate Sempione,45.6720555,8.744537,VA
Cassano Magnago,45.6707111,8.8206768,VA
Cassano Valcuvia,45.9334629,8.769537,VA
Castellanza,45.6119462,8.8982756,VA
Castello Cabiaglio,45.8942247,8.756973,VA
Castelseprio,45.7170298,8.8617011,VA
Castelveccana,45.9495212,8.6694772,VA
Castiglione Olona,45.755453,8.8657816,VA
Castronno,45.7467407,8.8139074,VA
Cavaria con Premezzo,45.691333,8.7928542,VA
Cazzago Brabbia,45.7968888,8.7359444,VA
Cislago,45.6598477,8.9731399,VA
Cittiglio,45.8948527,8.6604912,VA
Clivio,45.863171,8.930506,VA
Cocquio-Trevisago,45.855795,8.6991479,VA
Comabbio,45.7721016,8.6753295,VA
Comerio,45.8404573,8.745096,VA
Cremenaga,45.9883499,8.8039779,VA
Crosio della Valle,45.7609444,8.771574,VA
Cuasso al Monte,45.9157962,8.8803148,VA
Cugliate-Fabiasco,45.9467407,8.8198703,VA
Cunardo,45.935066,8.804067,VA
Curiglia con Monteviasco,46.0611721,8.8045748,VA
Cuveglio,45.9050764,8.7354555,VA
Cuvio,45.8972037,8.7353333,VA
Daverio,45.7785028,8.7715022,VA
Dumenza,46.0198518,8.7887777,VA
Duno,45.9143015,8.7378518,VA
Fagnano Olona,45.6688544,8.8740186,VA
Ferno,45.6172037,8.7556296,VA
Ferrera di Varese,45.9337592,8.7903333,VA
Gallarate,45.6602021,8.7934838,VA
Galliate Lombardo,45.7859629,8.771574,VA
Gavirate,45.8446915,8.7151165,VA
Gazzada Schianno,45.7796855,8.8229538,VA
Gemonio,45.8779814,8.6781296,VA
Gerenzano,45.6406182,9.0022091,VA
Germignaga,45.993088,8.7272219,VA
Golasecca,45.697538,8.658634,VA
Gorla Maggiore,45.6668888,8.8931296,VA
Gorla Minore,45.6422037,8.9037592,VA
Gornate-Olona,45.7425,8.8611111,VA
Grantola,45.9501666,8.7754814,VA
Inarzo,45.7867222,8.7367222,VA
Induno Olona,45.8523115,8.8398551,VA
Ispra,45.815061,8.6099534,VA
Jerago con Orago,45.703173,8.800982,VA
Lavena Ponte Tresa,45.966829,8.8567629,VA
Laveno-Mombello,45.9104302,8.6190607,VA
Leggiuno,45.8752299,8.620612,VA
Lonate Ceppino,45.7057962,8.8798518,VA
Lonate Pozzolo,45.5995659,8.7540843,VA
Lozza,45.7767407,8.8589259,VA
Luino,46.0020309,8.7416815,VA
Luvinate,45.8392297,8.7673009,VA
Maccagno,46.043937,8.7385142,VA
Malgesso,45.8289259,8.6767407,VA
Malnate,45.800554,8.879766,VA
Marchirolo,45.9489259,8.834537,VA
Marnate,45.628434,8.901926,VA
Marzio,45.9386708,8.8603242,VA
Masciago Primo,45.9169326,8.7807738,VA
Mercallo,45.7503176,8.6708749,VA
Mesenzana,45.9470183,8.757514,VA
Montegrino Valtravaglia,45.9750185,8.7686111,VA
Monvalle,45.8579723,8.6324718,VA
Morazzone,45.7654814,8.8292222,VA
Mornago,45.7467222,8.7523518,VA
Oggiona con Santo Stefano,45.7053333,8.8176666,VA
Olgiate Olona,45.6300401,8.8862849,VA
Origgio,45.5968467,9.0178551,VA
Orino,45.8825185,8.7167222,VA
Osmate,45.7893059,8.6595409,VA
Pino sulla Sponda del Lago Maggiore,46.1017222,8.7398518,VA
Porto Ceresio,45.9022037,8.9009291,VA
Porto Valtravaglia,45.9603333,8.6828333,VA
Rancio Valcuvia,45.9160145,8.7718799,VA
Ranco,45.7973616,8.5712107,VA
Saltrio,45.8714259,8.9217407,VA
Samarate,45.628239,8.7845048,VA
Sangiano,45.875857,8.632618,VA
Saronno,45.6255147,9.037346,VA
Sesto Calende,45.7239661,8.6345115,VA
Solbiate Arno,45.721998,8.81675,VA
Solbiate Olona,45.6525185,8.8864074,VA
Somma Lombardo,45.6844617,8.706378,VA
Sumirago,45.7387777,8.7828333,VA
Taino,45.764137,8.615186,VA
Ternate,45.7826666,8.6934444,VA
Tradate,45.7135729,8.9046424,VA
Travedona-Monate,45.804767,8.6727661,VA
Tronzano Lago Maggiore,46.0899833,8.7337958,VA
Uboldo,45.6162592,9.005,VA
Valganna,45.902226,8.8256001,VA
Varano Borghi,45.775,8.7051666,VA
Varese,45.8176046,8.8263844,VA
Vedano Olona,45.7732665,8.8811588,VA
Veddasca,46.071574,8.7998518,VA
Venegono Inferiore,45.737914,8.9006139,VA
Venegono Superiore,45.7551666,8.8978148,VA
Vergiate,45.7214589,8.6935803,VA
Viggiù,45.8716202,8.9062855,VA
Vizzola Ticino,45.6310202,8.6859201,VA
