denominazione,latitudine,longitudine,provincia
Casto,45.6955827,10.3205572,BS
Castrezzato,45.5123703,9.9820555,BS
Cazzago San Martino,45.5964753,10.0421303,BS
Cedegolo,46.0774492,10.3486491,BS
Cellatica,45.5829814,10.1812592,BS
Cerveno,46.0037395,10.3242473,BS
Ceto,46.0030836,10.3514843,BS
Cevo,46.079979,10.37184,BS
Chiari,45.538233,9.9301633,BS
Cigole,45.3100684,10.1904247,BS
Cimbergo,46.025,10.365582,BS
Cividate Camuno,45.9434444,10.2786111,BS
Coccaglio,45.5656481,9.9753148,BS
Collebeato,45.5822037,10.2112592,BS
Collio,45.810041,10.3342144,BS
Cologne,45.5823518,9.9425185,BS
Comezzano-Cizzago,45.4723703,9.9512777,BS
Concesio,45.6064881,10.2155129,BS
Corte Franca,45.6310252,9.989232,BS
Corteno Golgi,46.1657984,10.2409807,BS
Corzano,45.4448703,10.0084444,BS
Darfo Boario Terme,45.8801464,10.1825558,BS
Dello,45.4212034,10.0783018,BS
Desenzano del Garda,45.4688815,10.5349579,BS
Edolo,46.1792407,10.3303333,BS
Erbusco,45.5974176,9.9718281,BS
Esine,45.925427,10.250954,BS
Fiesse,45.2325158,10.3253955,BS
Flero,45.4836111,10.174537,BS
Gambara,45.2562592,10.294537,BS
Gardone Riviera,45.6223329,10.5624754,BS
Gardone Val Trompia,45.6882948,10.1857787,BS
Gargnano,45.6887253,10.6624302,BS
Gavardo,45.585635,10.441316,BS
Ghedi,45.4026465,10.2747625,BS
Gianico,45.8651297,10.1820471,BS
Gottolengo,45.292968,10.27105,BS
Gussago,45.5927767,10.1538508,BS
Idro,45.736055,10.465146,BS
Incudine,46.2212592,10.3598518,BS
Irma,45.7711857,10.2849881,BS
Iseo,45.6595182,10.0474641,BS
Isorella,45.3092222,10.3234629,BS
Lavenone,45.7399296,10.4393139,BS
Leno,45.3668461,10.2184652,BS
Limone sul Garda,45.814678,10.79322,BS
Lodrino,45.7197364,10.2768305,BS
Lograto,45.4852707,10.0542588,BS
Lonato del Garda,45.4609346,10.4845182,BS
Longhena,45.4387777,10.0607962,BS
Losine,45.9842123,10.3175027,BS
Lozio,45.9857109,10.2605148,BS
Lumezzane,45.6496313,10.2618342,BS
Maclodio,45.4787592,10.0432962,BS
Magasa,45.7823518,10.617037,BS
Mairano,45.4501666,10.0806296,BS
Malegno,45.9514792,10.2706891,BS
Malonno,46.118085,10.312204,BS
Manerba del Garda,45.5495256,10.5528538,BS
Manerbio,45.3551276,10.1418934,BS
Marcheno,45.704848,10.2111194,BS
Marmentino,45.7557449,10.2859128,BS
Marone,45.7375511,10.0940102,BS
Mazzano,45.5211111,10.3550185,BS
Milzano,45.274537,10.2003148,BS
Moniga del Garda,45.5276192,10.5396969,BS
Monno,46.2121544,10.3408056,BS
Monte Isola,45.7172183,10.0809521,BS
Monticelli Brusati,45.6358101,10.1014323,BS
Montichiari,45.41182,10.3928288,BS
Montirone,45.4473518,10.2298518,BS
Mura,45.7142222,10.3437592,BS
Muscoline,45.5634444,10.4629814,BS
Nave,45.5859221,10.2882361,BS
Niardo,45.9770555,10.3343888,BS
Nuvolento,45.5467222,10.3878148,BS
Nuvolera,45.5331296,10.3703333,BS
Odolo,45.6462777,10.3847037,BS
Offlaga,45.3872037,10.116574,BS
Ome,45.6266378,10.1229082,BS
Ono San Pietro,46.0168563,10.3259278,BS
Orzinuovi,45.4019305,9.9243023,BS
Orzivecchi,45.421574,9.9643888,BS
Ospitaletto,45.5550185,10.0807962,BS
Ossimo,45.9458377,10.2293652,BS
Padenghe sul Garda,45.5106481,10.5075185,BS
Paderno Franciacorta,45.5870576,10.0790014,BS
Paisco Loveno,46.0786317,10.2924971,BS
Paitone,45.5518887,10.4028031,BS
Palazzolo sull'Oglio,45.5996,9.8848635,BS
Paratico,45.6549643,9.9569823,BS
Paspardo,46.0311106,10.3704674,BS
Passirano,45.5997037,10.0678333,BS
Pavone del Mella,45.302497,10.210603,BS
Pertica Alta,45.7434629,10.3453333,BS
Pertica Bassa,45.7543888,10.3736111,BS
Pezzaze,45.7773854,10.2370357,BS
Pian Camuno,45.8443405,10.1578396,BS
Piancogno,45.9206385,10.2267068,BS
Pisogne,45.8046399,10.1085662,BS
Polaveno,45.6625185,10.125,BS
Polpenazze del Garda,45.5522037,10.5059444,BS
Pompiano,45.4329814,9.9903148,BS
Poncarale,45.4620555,10.1778148,BS
Ponte di Legno,46.2595289,10.5098513,BS
Pontevico,45.2716459,10.0858613,BS
Pontoglio,45.570819,9.8541716,BS
Pozzolengo,45.40318,10.627185,BS
Pralboino,45.2671104,10.2183258,BS
Preseglie,45.6694557,10.3918794,BS
Prestine,45.9295445,10.310632,BS
Prevalle,45.5523518,10.4231296,BS
Provaglio d'Iseo,45.6364259,10.0457962,BS
Provaglio Val Sabbia,45.6897331,10.4341695,BS
Puegnago sul Garda,45.5679187,10.5098146,BS
Quinzano d'Oglio,45.3118888,10.0097037,BS
Remedello,45.2794002,10.3731463,BS
Rezzato,45.5144175,10.3168489,BS
Roccafranca,45.4653148,9.9156481,BS
Rodengo,45.6012367,10.1082967,BS
Roè Volciano,45.6129199,10.4904991,BS
Roncadelle,45.5220946,10.1496976,BS
Rovato,45.5682477,9.9999853,BS
Rudiano,45.489537,9.8881296,BS
Sabbio Chiese,45.6625752,10.4192856,BS
Sale Marasino,45.7042482,10.1140654,BS
Salò,45.6070039,10.522309,BS
San Felice del Benaco,45.5901937,10.5510592,BS
San Gervasio Bresciano,45.3084629,10.1498703,BS
San Paolo,45.371574,10.0278148,BS
San Zeno Naviglio,45.4898825,10.2168101,BS
Sarezzo,45.6536712,10.2037202,BS
Saviore dell'Adamello,46.0796826,10.4006626,BS
Sellero,46.056646,10.3432804,BS
Seniga,45.2437777,10.179074,BS
Serle,45.5730012,10.3661246,BS
Sirmione,45.4924749,10.608063,BS
Soiano del Lago,45.5287592,10.5137592,BS
Sonico,46.1664074,10.3539074,BS
Sulzano,45.689927,10.1003339,BS
Tavernole sul Mella,45.747177,10.2404181,BS
Temù,46.2489598,10.4690035,BS
Tignale,45.739735,10.721672,BS
Torbole Casaglia,45.5136111,10.116574,BS
Toscolano-Maderno,45.6354814,10.6095555,BS
Travagliato,45.5233561,10.0789996,BS
Tremosine,45.7724056,10.759055,BS
Trenzano,45.4782962,10.0117222,BS
Treviso Bresciano,45.7127933,10.4616761,BS
Urago d'Oglio,45.5170555,9.8707962,BS
Vallio Terme,45.6103614,10.3959841,BS
Valvestino,45.7586516,10.5819532,BS
Verolanuova,45.3292407,10.0770555,BS
Verolavecchia,45.3281481,10.0582962,BS
Vestone,45.7089506,10.4005828,BS
Vezza d'Oglio,46.240151,10.39813,BS
Villa Carcina,45.6333923,10.191725,BS
Villachiara,45.3564259,9.932037,BS
Villanuova sul Clisi,45.6013292,10.4539388,BS
Vione,46.2485768,10.4479226,BS
Visano,45.3193888,10.3734444,BS
Vobarno,45.6423488,10.5009306,BS
Zone,45.7611993,10.1168278,BS
Albavilla,45.8014405,9.1862689,CO
Albese con Cassano,45.7959629,9.1648703,CO
Albiolo,45.806574,8.9403148,CO
Alserio,45.7798518,9.2012592,CO
Alzate Brianza,45.7707962,9.1831296,CO
Anzano del Parco,45.7695555,9.196574,CO
Appiano Gentile,45.7386111,8.9798518,CO
Argegno,45.9439074,9.1267222,CO
Arosio,45.7179814,9.2092407,CO
Asso,45.8622705,9.2708503,CO
Barni,45.9123603,9.266264,CO
Bellagio,45.9877495,9.2619766,CO
Bene Lario,46.029367,9.1850778,CO
Beregazzo con Figliaro,45.7815252,8.9449699,CO
Binago,45.7831296,8.9234444,CO
Bizzarone,45.8353333,8.9439259,CO
Blessagno,45.9600172,9.0981523,CO
Blevio,45.8431296,9.1062592,CO
Bregnano,45.6987364,9.0604922,CO
Brenna,45.7439074,9.1882962,CO
Brienno,45.9101666,9.1314259,CO
Brunate,45.8201762,9.0960433,CO
